{'ticks': 24789, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.9, 2931.1, 2509.9, 2675.4], 'rec_time': 0.6684043407440186}
{'ticks': 24799, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2761.2, 3113.0, 2583.7, 3405.3], 'rec_time': 0.6694018840789795}
{'ticks': 24829, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.8, 2931.8, 2509.7, 2677.8], 'rec_time': 0.6694018840789795}
{'ticks': 24828, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.4, 2958.5, 3036.7, 3013.2], 'rec_time': 0.6694018840789795}
{'ticks': 24839, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3112.4, 2583.1, 3405.1], 'rec_time': 0.6694018840789795}
{'ticks': 24869, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2710.9, 2931.7, 2510.0, 2675.3], 'rec_time': 0.6694018840789795}
{'ticks': 24868, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2699.6, 2958.9, 3035.8, 3012.9], 'rec_time': 0.6694018840789795}
{'ticks': 24879, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2761.3, 3112.9, 2584.7, 3406.2], 'rec_time': 0.6694018840789795}
{'ticks': 24909, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2709.9, 2931.9, 2509.5, 2678.0], 'rec_time': 0.6694018840789795}
{'ticks': 24908, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.1, 2957.7, 3036.8, 3011.9], 'rec_time': 0.6694018840789795}
{'ticks': 24919, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.5, 3112.5, 2583.7, 3404.5], 'rec_time': 0.6694018840789795}
{'ticks': 24948, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.0, 2959.4, 3036.9, 3010.9], 'rec_time': 0.6694018840789795}
{'ticks': 24949, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2711.0, 2932.3, 2510.2, 2678.7], 'rec_time': 0.6694018840789795}
{'ticks': 24959, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3112.9, 2582.7, 3404.9], 'rec_time': 0.6694018840789795}
{'ticks': 24989, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2712.0, 2934.2, 2512.4, 2680.0], 'rec_time': 0.6694018840789795}
{'ticks': 24988, 'id': 'OM-SB-V1-C.1', 'hallIndex': [6, 7, 4, 5], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2700.4, 2963.8, 3037.6, 3015.5], 'rec_time': 0.6704027652740479}
{'ticks': 24999, 'id': 'OM-SB-V1-C.2', 'hallIndex': [10, 11, 8, 9], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2760.8, 3113.2, 2585.0, 3405.3], 'rec_time': 0.6704027652740479}
{'ticks': 25029, 'id': 'OM-SB-V1-C.0', 'hallIndex': [2, 3, 0, 1], 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [2712.0, 2930.5, 2510.1, 2678.8], 'rec_time': 0.6704027652740479}
